run_id,instance_file,run_seed,solution,benefit,initial_sol,initial_sol_neighborhood,generations,elite_number,parents_per_generation,parents_survive,parent_selection,two_offsprings,crossover_points,mutation_rate,mutations_per_gene,start_time,time,evaluations,capacity_used,timestamp
genetic_algorithm_64,input/sukp12_400_400_0.10_0.75.txt,7,2572158996653691760632244289294098356041107941422213446241651169216712939930654293613670135228194387293406470354516045277,449,2582245910239968747306213222110170091973173543577438274666131784910935255520183507755803441874031176862033593567742459357,[],20,1,100,True,tournament,True,[],0.1,10,1760324992.2624788,109.88625764846802,4200,48301,2025-10-13T00:11:42.149043
genetic_algorithm_65,input/sukp18_100_100_0.15_0.85.txt,7,1103003366076262445254543605759,10375,1251401428286491370197576777727,[],20,1,100,True,tournament,True,[],0.1,10,1760325102.3131118,9.37203073501587,4200,15104,2025-10-13T00:11:51.685256
genetic_algorithm_66,input/sukp24_300_300_0.15_0.85.txt,7,1909719222539147499156711261332445788793115009505592567806909758371248276548271436015321087,980,2037033817591919298463616263801965639503134269782542905244371052531284103744216942948368383,[],20,1,100,True,tournament,True,[],0.1,10,1760325111.8293114,67.11381959915161,4200,45713,2025-10-13T00:12:58.943477
genetic_algorithm_67,input/sukp29_500_485_0.15_0.85.txt,6,49921843545472754741553449711225209960884330517234565832279697142971673142762847974713661467678067144328272351178449119796469065196673685618949119,435,49923391653808406440581768547163933956753199477284032758759010438054368093955410543267166044302085979644215290714002466546932566539544782945909759,[],20,1,100,True,tournament,True,[],0.1,10,1760325179.1983209,175.84445714950562,4200,65774,2025-10-13T00:15:55.043211
genetic_algorithm_68,input/prob-software-85-100-812-12180.txt,12,950735432914563968540348471231,8928,950734918356434962974350589375,[],20,0,100,False,tournament,True,[],0.1,10,1760327551.9279172,7.51282525062561,4200,12159,2025-10-13T00:52:39.440859
genetic_algorithm_69,input/sukp03_100_100_0.10_0.75.txt,9,1257018003035924336438796877820,8179,603364222278852148937682050556,[],20,0,100,False,tournament,True,[],0.1,10,1760327561.1691349,8.929992198944092,4200,11219,2025-10-13T00:52:50.099245
genetic_algorithm_70,input/sukp06_200_200_0.10_0.75.txt,8,1571825123220941364773700785332187995494782949203448380194795,4209,1575098286620608938415155078342785730497901465979593344614379,[],20,0,100,False,tournament,True,[],0.1,10,1760327570.2238827,29.458572387695312,4200,25553,2025-10-13T00:53:19.682762
genetic_algorithm_71,input/sukp12_400_400_0.10_0.75.txt,8,1269648072488290022170932563765211279042298230828044478261938421936834763101275537278438280714657704393809125051314199535,106,2560773011531744312748150596832246894728313550342862238799702710708570984553000658458087699103023475544763915298298919919,[],20,0,100,False,tournament,True,[],0.1,10,1760327599.8098664,111.23725771903992,4200,49555,2025-10-13T00:55:11.047573
genetic_algorithm_72,input/sukp18_100_100_0.15_0.85.txt,8,1247214911087572111583386402303,10673,1247210043215506823449044450815,[],20,0,100,False,tournament,True,[],0.1,10,1760327711.3525822,10.464389324188232,4200,15161,2025-10-13T00:55:21.817090
genetic_algorithm_73,input/sukp24_300_300_0.15_0.85.txt,8,2036035127874301953920932899105513880645670188242548666258266068267861427698352314487144445,1584,2036008059514992187573295906510855294989725573750566502105024151051884573868423859327205359,[],20,0,100,False,tournament,True,[],0.1,10,1760327721.9200797,68.46628928184509,4200,45336,2025-10-13T00:56:30.386783
genetic_algorithm_74,input/sukp29_500_485_0.15_0.85.txt,7,99895847792020280727673568164395519699381495786719551362709388082178543504022358792170310254449525820142838144046106069158829364912538497203567615,424,99895847792201990408747469888313415852883101406132531069914898493295736166024795342328351967360621878886399828952527746420065185051472436630125567,[],20,0,100,False,tournament,True,[],0.1,10,1760327790.5276203,217.75285983085632,4200,67192,2025-10-13T01:00:08.281083
